Source;Target;Weight;Type
347;95;1;undirected
343;289;1;undirected
297;248;1;undirected
290;238;1;undirected
195;35;1;undirected
195;17;1;undirected
195;18;1;undirected
195;56;1;undirected
270;6;2;undirected
271;32;1;undirected
271;16;2;undirected
271;111;2;undirected
273;266;3;undirected
273;40;3;undirected
274;82;2;undirected
275;62;1;undirected
275;124;1;undirected
275;40;2;undirected
276;106;1;undirected
276;95;1;undirected
276;20;1;undirected
276;15;1;undirected
276;16;1;undirected
108;85;1;undirected
102;71;6;undirected
102;79;2;undirected
102;68;1;undirected
102;112;1;undirected
103;20;1;undirected
103;13;1;undirected
103;66;1;undirected
100;284;4;undirected
101;29;1;undirected
101;60;1;undirected
101;114;3;undirected
106;276;1;undirected
106;72;1;undirected
104;10;1;undirected
33;94;1;undirected
33;26;1;undirected
32;271;1;undirected
32;84;3;undirected
32;2;1;undirected
31;15;1;undirected
30;81;1;undirected
36;67;4;undirected
36;225;1;undirected
35;195;1;undirected
35;17;2;undirected
35;18;1;undirected
35;56;1;undirected
34;68;1;undirected
6;270;2;undirected
99;1;3;undirected
98;94;1;undirected
98;26;1;undirected
91;65;1;undirected
90;243;1;undirected
90;113;1;undirected
93;58;2;undirected
93;223;4;undirected
95;347;1;undirected
95;276;1;undirected
95;231;1;undirected
94;33;1;undirected
94;98;1;undirected
94;26;1;undirected
94;122;1;undirected
97;2;1;undirected
238;290;1;undirected
239;113;2;undirected
237;55;1;undirected
237;224;1;undirected
230;10;1;undirected
231;95;1;undirected
233;43;1;undirected
1;99;3;undirected
1;232;1;undirected
1;135;1;undirected
146;168;2;undirected
144;67;1;undirected
140;27;1;undirected
140;21;1;undirected
140;46;1;undirected
24;120;1;undirected
24;118;1;undirected
26;33;1;undirected
26;98;1;undirected
26;94;1;undirected
27;140;1;undirected
27;21;4;undirected
27;46;2;undirected
20;276;1;undirected
20;103;1;undirected
20;13;2;undirected
20;15;4;undirected
20;16;3;undirected
20;74;1;undirected
20;66;1;undirected
20;111;1;undirected
20;83;3;undirected
21;140;1;undirected
21;27;4;undirected
21;352;1;undirected
21;263;1;undirected
21;46;2;undirected
22;75;1;undirected
22;71;2;undirected
22;266;1;undirected
22;40;1;undirected
28;78;2;undirected
28;229;2;undirected
29;101;1;undirected
88;266;1;undirected
88;40;1;undirected
89;49;2;undirected
89;43;2;undirected
82;274;2;undirected
82;76;1;undirected
82;61;1;undirected
81;30;1;undirected
87;49;1;undirected
87;43;1;undirected
84;32;3;undirected
84;2;1;undirected
85;108;1;undirected
85;68;1;undirected
243;90;1;undirected
243;113;1;undirected
248;297;1;undirected
180;60;1;undirected
2;32;1;undirected
2;97;1;undirected
2;84;1;undirected
11;127;2;undirected
11;9;3;undirected
10;104;1;undirected
10;230;1;undirected
13;103;1;undirected
13;20;2;undirected
13;66;1;undirected
13;113;1;undirected
12;120;1;undirected
12;49;2;undirected
12;43;2;undirected
15;276;1;undirected
15;31;1;undirected
15;20;4;undirected
15;16;4;undirected
15;78;1;undirected
15;83;4;undirected
17;195;1;undirected
17;35;2;undirected
17;18;2;undirected
17;56;2;undirected
16;271;2;undirected
16;276;1;undirected
16;20;3;undirected
16;15;4;undirected
16;111;1;undirected
16;83;2;undirected
19;207;1;undirected
19;366;6;undirected
19;262;1;undirected
18;195;1;undirected
18;35;1;undirected
18;17;2;undirected
18;56;4;undirected
18;119;1;undirected
62;275;1;undirected
62;124;1;undirected
207;19;1;undirected
76;82;1;undirected
75;22;1;undirected
74;20;1;undirected
73;60;3;undirected
72;106;1;undirected
72;260;2;undirected
72;113;1;undirected
71;102;6;undirected
71;22;2;undirected
71;68;1;undirected
71;226;1;undirected
70;265;1;undirected
70;55;1;undirected
79;102;2;undirected
79;112;1;undirected
78;28;2;undirected
78;15;1;undirected
78;121;1;undirected
78;229;2;undirected
78;83;1;undirected
120;24;1;undirected
120;12;1;undirected
120;118;3;undirected
121;78;1;undirected
122;94;1;undirected
124;275;1;undirected
124;62;1;undirected
126;46;2;undirected
127;11;2;undirected
128;115;1;undirected
128;48;2;undirected
3;254;1;undirected
366;19;6;undirected
60;101;1;undirected
60;180;1;undirected
60;73;3;undirected
60;68;2;undirected
60;229;2;undirected
61;82;1;undirected
63;68;3;undirected
63;111;1;undirected
63;229;1;undirected
63;42;1;undirected
65;91;1;undirected
65;139;1;undirected
66;103;1;undirected
66;20;1;undirected
66;13;1;undirected
66;51;1;undirected
66;46;1;undirected
67;36;4;undirected
67;144;1;undirected
68;102;1;undirected
68;34;1;undirected
68;85;1;undirected
68;71;1;undirected
68;60;2;undirected
68;63;3;undirected
68;288;1;undirected
68;229;3;undirected
68;42;1;undirected
250;260;1;undirected
254;3;1;undirected
168;146;2;undirected
9;11;3;undirected
289;343;1;undirected
289;315;1;undirected
288;68;1;undirected
288;280;1;undirected
280;288;1;undirected
283;5;1;undirected
284;100;4;undirected
263;21;1;undirected
262;19;1;undirected
260;72;2;undirected
260;250;1;undirected
266;273;3;undirected
266;22;1;undirected
266;88;1;undirected
266;40;6;undirected
265;70;1;undirected
58;93;2;undirected
55;237;1;undirected
55;70;1;undirected
56;195;1;undirected
56;35;1;undirected
56;17;2;undirected
56;18;4;undirected
56;119;1;undirected
51;66;1;undirected
51;119;1;undirected
115;128;1;undirected
114;101;3;undirected
116;43;1;undirected
111;271;2;undirected
111;20;1;undirected
111;16;1;undirected
111;63;1;undirected
111;112;1;undirected
113;90;1;undirected
113;239;2;undirected
113;243;1;undirected
113;13;1;undirected
113;72;1;undirected
119;18;1;undirected
119;56;1;undirected
119;51;1;undirected
118;24;1;undirected
118;120;3;undirected
118;305;1;undirected
305;118;1;undirected
229;28;2;undirected
229;78;2;undirected
229;60;2;undirected
229;63;1;undirected
229;68;3;undirected
226;71;1;undirected
225;36;1;undirected
224;237;1;undirected
223;93;4;undirected
112;102;1;undirected
112;79;1;undirected
112;111;1;undirected
83;20;3;undirected
83;15;4;undirected
